Reef_ID,Nick_ID,LAT,LON,UNIQUE_ID,LABEL_ID,GBR_NAME,OldReefName,AREA_DESCR,Shelf_position,AIMS_sector,Reference_Area_km2,Geom_2D_Area_km2,GeomCH_2D_Area_km2,Geom_3D_Area_km2,GeomCH_3D_Area_km2
208,126,-11.498,143.0288,11062100104,11-062,Boydong Island Reef,Boydong Island Reef (11-062),Far Northern,1,1,4.91885828344,4.767789,1.274046,6.27748,1.988
209,56,-10.9777,143.4992,11063101104,11-063a,U/N Reef,U/N Reef (11-063a),Far Northern,2,1,10.869020961,4.231129,0.021658,6.28784,0.04617
210,62,-11.016,143.5894,11063102104,11-063b,U/N Reef,U/N Reef (11-063b),Far Northern,2,1,23.7509939494,1.871548,0.057843,2.098076,0.004476
211,66,-11.0949,143.6618,11064100104,11-064,U/N Reef,U/N Reef (11-064),Far Northern,2,1,84.8841331281,7.799217,0.561944,12.2421,0.4156
212,72,-11.1512,143.5843,11065100104,11-065,U/N Reef,U/N Reef (11-065),Far Northern,2,1,9.87273817521,0.358427,0.018721,0.332745,0.002075
213,80,-11.1571,143.6947,11066100104,11-066,U/N Reef,U/N Reef (11-066),Far Northern,2,1,2.24960311788,0.954071,0.053529,1.15674,0.06086
214,72,-11.1482,143.5348,11067100104,11-067,U/N Reef,U/N Reef (11-067),Far Northern,2,1,9.77441850881,3.695632,0.074877,4.35807,0.01047
215,86,-11.2073,143.5889,11068100104,11-068,U/N Reef,U/N Reef (11-068),Far Northern,2,1,10.5803185391,1.229734,0.027394,1.284291,0.002736
216,80,-11.1924,143.7148,11069100104,11-069,U/N Reef,U/N Reef (11-069),Far Northern,2,1,52.2201185844,2.229988,0.090977,2.632241,0.009211
217,97,-11.3149,143.7982,11070101104,11-070a,Maclennan Reef (No 1),Maclennan Reef (No 1) (11-070a),Far Northern,2,1,5.10425210825,1.305199,0.983328,6.526246,4.487966
218,96,-11.2526,143.6751,11070102104,11-070b,Maclennan Reef (No 2),Maclennan Reef (No 2) (11-070b),Far Northern,2,1,63.7908640658,6.294774,0.445438,8.92325,0.05401
219,97,-11.2557,143.8192,11070103104,11-070c,Maclennan Reef (No 3),Maclennan Reef (No 3) (11-070c),Far Northern,2,1,28.2366395808,0.134408,0.085985088968074,0.426602,0.322156495762693
220,117,-11.4735,143.6366,11103100104,11-103,Indefatigable Reef,Indefatigable Reef (11-103),Far Northern,2,1,11.5570825179,3.145182,0.905277,10.43834,3.8352
221,118,-11.4665,143.7075,11104100104,11-104,U/N Reef,U/N Reef (11-104),Far Northern,2,1,18.9976712975,1.376891,0.140461,6.25883,0.3444
222,119,-11.4759,143.9284,11105100104,11-105,U/N Reef,U/N Reef (11-105),Far Northern,2,1,2.53560592511,1.403761,0.616498,4.32426,2.521
223,120,-11.4754,144.0179,11107100104,11-107,U/N Reef,U/N Reef (11-107),Far Northern,3,1,2.71086305786,0.891298,0.490272,3.651048,1.8382
224,119,-11.4779,143.9009,11108100104,11-108,U/N Reef,U/N Reef (11-108),Far Northern,2,1,0.739634410807,0.433614,0.22363,2.377703,1.581503
225,119,-11.4921,143.9242,11109101104,11-109a,U/N Reef,U/N Reef (11-109a),Far Northern,2,1,6.61597117462,3.03097,2.067847,13.86406,9.6883
226,119,-11.4827,143.9456,11109102104,11-109b,U/N Reef,U/N Reef (11-109b),Far Northern,2,1,3.68221687346,1.484196,1.113259,6.96743,5.1451
227,119,-11.4899,143.8581,11110100104,11-110,U/N Reef,U/N Reef (11-110),Far Northern,2,1,2.69863335731,1.326335,1.058316,5.98674,5.258
228,113,-11.4992,143.5381,11111100104,11-111,U/N Reef,U/N Reef (11-111),Far Northern,2,1,33.9054514623,21.541745,1.861161,24.59074,0.4712
229,55,-11.0307,143.9979,11112100104,11-112,U/N Reef,U/N Reef (11-112),Far Northern,3,1,2.23845609762,1.589819,0.872279,4.686004,3.471
230,55,-11.0393,144.0173,11113100104,11-113,U/N Reef,U/N Reef (11-113),Far Northern,3,1,5.77953631761,4.005635,1.446749,10.798364,5.798299
231,74,-11.049,144.0224,11114100104,11-114,U/N Reef,U/N Reef (11-114),Far Northern,3,1,1.40539000435,1.078282,0.630945,4.49148,3.0275
232,74,-11.0549,144.0336,11115100104,11-115,U/N Reef,U/N Reef (11-115),Far Northern,3,1,6.67212242711,4.593481,2.829058,14.966404,10.0026
233,74,-11.0692,144.0407,11116100104,11-116,U/N Reef,U/N Reef (11-116),Far Northern,3,1,1.41065189342,1.168757,0.881203,3.234053,2.7309
234,74,-11.1034,144.044,11117100104,11-117,U/N Reef,U/N Reef (11-117),Far Northern,3,1,11.9899909806,7.130896,3.540143,20.00387,12.394
235,74,-11.1316,144.0333,11118101104,11-118a,U/N Reef,U/N Reef (11-118a),Far Northern,3,1,3.7905088338,2.05672,0.975814,6.423891,4.3593
236,74,-11.1407,144.0258,11118102104,11-118b,U/N Reef,U/N Reef (11-118b),Far Northern,3,1,0.562646362748,0.115874,0.034615,0.30157,0.1091
237,74,-11.146,144.0584,11119100104,11-119,U/N Reef,U/N Reef (11-119),Far Northern,3,1,12.3981742113,9.247136,4.069159,23.801845,13.828
238,98,-11.3224,143.9624,11077100104,11-077,U/N Reef,U/N Reef (11-077),Far Northern,3,1,6.37736069597,3.891416,1.721244,12.47269,7.8501
239,98,-11.3282,143.9818,11078100104,11-078,U/N Reef,U/N Reef (11-078),Far Northern,3,1,0.175149172838,0.118458,0.102185,0.574969,0.5322
240,100,-11.3083,143.5057,11079100104,11-079,U/N Reef,U/N Reef (11-079),Far Northern,2,1,5.61604422007,0.367223,0.041418,0.52547,0.06644
241,101,-11.305,143.6725,11080100104,11-080,U/N Reef,U/N Reef (11-080),Far Northern,2,1,12.0637761506,0.874943,0.000877,1.22362,0.874094551960582
242,98,-11.3482,143.9566,11081100104,11-081,U/N Reef,U/N Reef (11-081),Far Northern,3,1,2.14007227477,1.509869,0.948423,6.810965,4.9791
243,98,-11.3559,143.952,11082100104,11-082,U/N Reef,U/N Reef (11-082),Far Northern,3,1,1.30382050901,0.991606,0.499722,4.05577,2.9001
244,98,-11.361,143.9641,11083100104,11-083,U/N Reef,U/N Reef (11-083),Far Northern,3,1,0.178953491915,0.072854,0.072765,0.270617,0.2704
245,98,-11.3644,143.9766,11084100104,11-084,U/N Reef,U/N Reef (11-084),Far Northern,3,1,0.964523178858,0.742877,0.652654,2.96384,2.6183
246,98,-11.3637,143.9517,11085100104,11-085,U/N Reef,U/N Reef (11-085),Far Northern,3,1,0.224616928923,0.202178,0.175676,1.16162,1.0624
247,119,-11.3724,143.9444,11087101104,11-087a,U/N Reef,U/N Reef (11-087a),Far Northern,3,1,1.5578075234,1.086274,0.475763,3.426999,1.831
248,119,-11.3715,143.959,11087102104,11-087b,U/N Reef,U/N Reef (11-087b),Far Northern,3,1,2.69521092391,2.244274,0.793932,6.443045,3.5885
249,119,-11.3832,143.96,11088100104,11-088,U/N Reef,U/N Reef (11-088),Far Northern,3,1,1.29012462744,0.808698,0.612966,3.3656,2.82824
250,119,-11.3913,143.9784,11089101104,11-089a,U/N Reef,U/N Reef (11-089a),Far Northern,3,1,0.695966879706,0.308715,0.254864,1.370152,1.26752
251,119,-11.3922,143.9585,11089102104,11-089b,U/N Reef,U/N Reef (11-089b),Far Northern,3,1,2.11696061575,1.371099,0.857771,5.817166,4.3093
252,105,-11.3364,143.5897,11090100104,11-090,U/N Reef,U/N Reef (11-090),Far Northern,2,1,6.08442813387,1.14302,0.043347,1.343671,0.004471
253,119,-11.4024,143.9637,11091100104,11-091,U/N Reef,U/N Reef (11-091),Far Northern,3,1,1.1603184595,1.054672,0.472674,3.378332,2.24945
254,109,-11.3711,143.7155,11092100104,11-092,U/N Reef,U/N Reef (11-092),Far Northern,2,1,48.946046959,1.551156,0.636279,9.343791,3.4316
255,109,-11.4007,143.7688,11093100104,11-093,U/N Reef,U/N Reef (11-093),Far Northern,2,1,5.63431411499,0.809145,0.697447,6.507566,4.0617
256,119,-11.4116,143.9649,11094100104,11-094,U/N Reef,U/N Reef (11-094),Far Northern,3,1,0.296387756911,0.284689,0.238655,1.064674,0.9161
257,119,-11.416,143.9696,11095100104,11-095,U/N Reef,U/N Reef (11-095),Far Northern,3,1,0.353118562995,0.161537,0.138352,0.69316,0.6321
258,119,-11.4212,143.9751,11096100104,11-096,U/N Reef,U/N Reef (11-096),Far Northern,3,1,0.345790920352,0.247494,0.19329,1.12042,0.88574
259,119,-11.4274,143.9741,11097100104,11-097,U/N Reef,U/N Reef (11-097),Far Northern,3,1,0.673620653635,0.524898,0.43311,2.358241,1.9429
260,109,-11.4228,143.7677,11098100104,11-098,Risk Reef,Risk Reef (11-098),Far Northern,2,1,4.68801276993,1.348569,1.145109,9.94149,5.6336
261,113,-11.4242,143.5423,11099100104,11-099,U/N Reef,U/N Reef (11-099),Far Northern,2,1,54.6291432785,4.017931,0.359639,4.207417,0.04481
262,118,-11.4578,143.7689,11100100104,11-100,Shadwell Reef,Shadwell Reef (11-100),Far Northern,2,1,5.31543207331,0.701791,0.594257,5.97905,4.035325
263,113,-11.4658,143.512,11101100104,11-101,U/N Reef,U/N Reef (11-101),Far Northern,2,1,7.05642560578,2.28224,0.185449,2.118177,0.01898
264,119,-11.4631,143.9677,11102100104,11-102,U/N Reef,U/N Reef (11-102),Far Northern,3,1,4.53681611585,3.191091,1.650703,11.989586,7.037
265,129,-11.5527,143.5164,11157100104,11-157,U/N Reef,U/N Reef (11-157),Far Northern,2,1,97.4432386687,47.134061,4.677036,51.7255,3.773
266,133,-11.5803,143.2319,11158100104,11-158,U/N Reef,U/N Reef (11-158),Far Northern,1,1,8.16021838354,8.039132,2.029145,10.4045,2.9359
267,82,-11.1852,144.06,11120100104,11-120,U/N Reef,U/N Reef (11-120),Far Northern,3,1,2.71146695479,2.463865,1.514094,7.824683,5.6697
268,82,-11.1924,144.0436,11121100104,11-121,U/N Reef,U/N Reef (11-121),Far Northern,3,1,1.63057123324,0.825471,0.644214,3.701205,3.1126
269,82,-11.2007,144.0466,11122100104,11-122,U/N Reef,U/N Reef (11-122),Far Northern,3,1,1.97086025638,1.418726,0.712774,4.67543,3.2636
270,82,-11.2097,144.051,11123100104,11-123,U/N Reef,U/N Reef (11-123),Far Northern,3,1,1.57529925792,1.018884,0.532115,4.210068,2.814778
271,82,-11.2175,144.0562,11124100104,11-124,U/N Reef,U/N Reef (11-124),Far Northern,3,1,0.426723919466,0.27551,0.231058,1.4228,1.2407
272,99,-11.2613,144.0657,11125100104,11-125,Stark Reef,Stark Reef (11-125),Far Northern,3,1,16.8984949777,14.629774,6.134296,39.74276,20.145
273,98,-11.2636,144.0125,11126101104,11-126a,U/N Reef,U/N Reef (11-126a),Far Northern,3,1,0.219872958499,0.190386,0.144483,0.96629,0.737
274,98,-11.2693,144.0183,11126102104,11-126b,U/N Reef,U/N Reef (11-126b),Far Northern,3,1,1.599019286,1.253656,0.596106,4.4828,2.666276
275,98,-11.2616,144.0241,11127101104,11-127a,U/N Reef,U/N Reef (11-127a),Far Northern,3,1,0.735074851369,0.358508,0.278199,1.26047,1.046
276,98,-11.2761,144.0264,11127102104,11-127b,U/N Reef,U/N Reef (11-127b),Far Northern,3,1,0.702886056285,0.565618,0.339407,2.58661,1.8582
277,98,-11.2793,144.0342,11128100104,11-128,U/N Reef,U/N Reef (11-128),Far Northern,3,1,2.11666973839,1.691439,0.720838,5.576696,3.3478
278,99,-11.2763,144.0441,11129100104,11-129,U/N Reef,U/N Reef (11-129),Far Northern,3,1,2.35578346054,1.166024,0.688489,4.63709,2.9596
279,120,-11.4248,144.0383,11130100104,11-130,Moulter Reef,Moulter Reef (11-130),Far Northern,3,1,5.66859909018,4.528022,3.055274,14.8597,10.3016
280,120,-11.494,144.0699,11131100104,11-131,Saunders Reef,Saunders Reef (11-131),Far Northern,3,1,29.3190073898,15.044468,6.051794,41.0426,17.92
281,131,-11.5122,142.8727,11132100104,11-132,Hunter Reefs,Hunter Reefs (11-132),Far Northern,1,1,4.69327040348,0.432094,0.038563,0.67545,0.0658
282,131,-11.5637,142.8437,11133100104,11-133,U/N Reef,U/N Reef (11-133),Far Northern,1,1,5.06777779212,4.613743,3.947826,4.886639,4.212
283,131,-11.5904,142.8983,11134100104,11-134,Pirie Reef,Pirie Reef (11-134),Far Northern,1,1,1.03339480444,0.96657,0.902436,2.121845,1.9237
284,131,-11.6276,142.8569,11135100104,11-135,U/N Reef,U/N Reef (11-135),Far Northern,1,1,0.449574032925,0.30906,0.30906,0.3864,0.3864
285,131,-11.5979,142.9397,11136100104,11-136,Hannibal Islands Reef,Hannibal Islands Reef (11-136),Far Northern,1,1,3.5781009424,3.130342,2.228114,5.13958,3.8344
286,131,-11.6514,142.9075,11137100104,11-137,U/N Reef,U/N Reef (11-137),Far Northern,1,1,0.880798464526,0.873743,0.723315,1.48261,1.158
287,147,-11.7324,142.9852,11138100104,11-138,MacArthur Islands Reef,MacArthur Islands Reef (11-138),Far Northern,1,1,2.96654979493,2.795454,1.492231,3.556364,2.035364
288,154,-11.7591,142.973,11139100104,11-139,U/N Reef,U/N Reef (11-139),Far Northern,1,1,6.40719073206,5.789811,3.792939,7.18248,4.806
289,153,-11.7624,142.8959,11140100104,11-140,U/N Reef,U/N Reef (11-140),Far Northern,1,1,0.636306954386,0.335005,0.235617,0.400937,0.2668
290,153,-11.7697,142.9157,11141100104,11-141,U/N Reef,U/N Reef (11-141),Far Northern,1,1,1.1833491492,0.51062,0.127317,0.71124,0.192
291,153,-11.7727,142.9372,11142100104,11-142,U/N Reef,U/N Reef (11-142),Far Northern,1,1,4.79361139996,4.623434,2.679132,5.23331,3.03
292,153,-11.7707,142.9555,11143100104,11-143,U/N Reef,U/N Reef (11-143),Far Northern,1,1,0.0993393095186,0.015894,0.011461,0.022163,0.01588
293,167,-11.781,142.8782,11144100104,11-144,U/N Reef,U/N Reef (11-144),Far Northern,1,1,0.148186069953,0.148186069953,0.0945944321127625,0.876786243671083,0.640232942134976
294,167,-11.7999,142.8562,11145100104,11-145,U/N Reef,U/N Reef (11-145),Far Northern,1,1,2.71958231903,2.464388,1.377733,2.57036,1.451
295,153,-11.7968,142.9365,11146100104,11-146,Nigger Head Reef,Nigger Head Reef (11-146),Far Northern,1,1,0.437401535759,0.437401535759,0.267855487459671,2.0842608260235,1.42368081491485
296,153,-11.8053,142.9002,11147100104,11-147,U/N Reef,U/N Reef (11-147),Far Northern,1,1,1.36521236844,0.830623,0.466509,0.980352,0.5109
297,167,-11.8267,142.896,11148100104,11-148,U/N Reef,U/N Reef (11-148),Far Northern,1,1,0.197987947787,0.098716,0.002694,0.111034,0.003461
